sender_name,sv_continent,landed,n_conditional,land_rate,wilson_lo,wilson_hi,gate
helius-dual,Asia,167,2704,0.0617603550295858,0.05329409077172115,0.07147003000801946,inferential
helius-dual,North America,112,5481,0.020434227330779056,0.01701084433942094,0.02452936434870452,inferential
helius-dual,Europe,1558,13943,0.1117406583948935,0.10661790243681454,0.11707729536351233,inferential
helius-dual,South America,7,220,0.031818181818181815,0.015496567181111719,0.06420921616524256,inferential
helius-dual,Africa,0,4,0.0,0.0,0.4898908364545974,suppressed
helius-dual,Oceania,1,4,0.25,0.0455872608097006,0.6993581574175982,suppressed
helius-fra,Asia,135,2704,0.04992603550295858,0.042336604724882446,0.05879245433751783,inferential
helius-fra,North America,54,5481,0.009852216748768473,0.007559194556778792,0.01283181576874871,inferential
helius-fra,Europe,98,13943,0.007028616510076741,0.005771286072300644,0.008557510839225457,inferential
helius-fra,South America,7,220,0.031818181818181815,0.015496567181111719,0.06420921616524256,inferential
helius-fra,Africa,0,4,0.0,0.0,0.4898908364545974,suppressed
helius-fra,Oceania,0,4,0.0,0.0,0.4898908364545974,suppressed
jito-multi,Asia,0,626,0.0,0.0,0.0060990885355289536,inferential
jito-multi,North America,0,1331,0.0,0.0,0.0028778390087523804,inferential
jito-multi,Europe,2,3309,0.0006044122091266244,0.00016576727952110444,0.002201221578281204,inferential
jito-multi,South America,0,54,0.0,0.0,0.06641358809089641,inferential
jito-multi,Africa,0,2,0.0,0.0,0.657619772493347,suppressed
jito-multi,Oceania,0,0,,0.0,0.0,suppressed
nextblock-quic-fra,Asia,57,2708,0.021048744460856722,0.016282085633977532,0.02717232001993565,inferential
nextblock-quic-fra,North America,160,5499,0.029096199308965266,0.024971984241482087,0.03387787746071134,inferential
nextblock-quic-fra,Europe,821,13953,0.05884039274707948,0.05505580201041894,0.06286783161948992,inferential
nextblock-quic-fra,South America,0,220,0.0,0.0,0.017161516195135628,inferential
nextblock-quic-fra,Africa,0,4,0.0,0.0,0.4898908364545974,suppressed
nextblock-quic-fra,Oceania,0,4,0.0,0.0,0.4898908364545974,suppressed
nozomi-fra,Asia,140,1007,0.13902681231380337,0.11902650719584286,0.161770700263218,inferential
nozomi-fra,North America,324,2149,0.15076779897626802,0.1362630669961362,0.16651884764506855,inferential
nozomi-fra,Europe,597,5339,0.11181869263907099,0.10364292597329766,0.12055265760388928,inferential
nozomi-fra,South America,6,87,0.06896551724137931,0.031988839442576765,0.14239694240580286,inferential
nozomi-fra,Africa,0,1,0.0,0.0,0.7934506856227627,suppressed
nozomi-fra,Oceania,1,1,1.0,0.2065493143772374,1.0,suppressed
syncro-fra,Asia,10,2708,0.003692762186115214,0.002007096040226671,0.0067845162950542146,inferential
syncro-fra,North America,20,5499,0.0036370249136206583,0.0023557120341148475,0.0056113462845323574,inferential
syncro-fra,Europe,228,13953,0.0163405719200172,0.01436614006432289,0.018581247077491727,inferential
syncro-fra,South America,14,220,0.06363636363636363,0.038281768881067844,0.10396828161650504,inferential
syncro-fra,Africa,0,4,0.0,0.0,0.4898908364545974,suppressed
syncro-fra,Oceania,0,4,0.0,0.0,0.4898908364545974,suppressed
triton-fra,Asia,482,2708,0.1779911373707533,0.16404367184236493,0.19285088616088278,inferential
triton-fra,North America,925,5499,0.16821240225495546,0.15855828172229078,0.17832975561142303,inferential
triton-fra,Europe,1911,13952,0.13696961009174313,0.13136445555674237,0.14277461875916692,inferential
triton-fra,South America,13,220,0.05909090909090909,0.03485473826227842,0.09846041692797755,inferential
triton-fra,Africa,0,4,0.0,0.0,0.4898908364545974,suppressed
triton-fra,Oceania,1,4,0.25,0.0455872608097006,0.6993581574175982,suppressed
