sender_a,sender_b,n_a,n_b,p50_a_ms,p50_b_ms,hl_shift_a_minus_b_ms,p50_diff_a_minus_b_ms,p50_diff_ci_lo,p50_diff_ci_hi,p90_diff_a_minus_b_ms,p90_diff_ci_lo,p90_diff_ci_hi,mw_u,mw_p,mw_p_fdr,significant_fdr
allenhark-quic-ams,astralane-fra,40,2550,60.963183,57.952623,9.272393000000001,3.010559999999998,-6.409860175000001,45.140735824999986,64.14165740000004,-31.236148699999973,241.53881360000005,57742.0,0.1508528375136558,0.17376719257902123,False
allenhark-quic-ams,astralane-quic-fra,40,1764,60.963183,61.009658,6.0519505,-0.04647500000000093,-9.566521000000002,42.20716407499999,59.9603908,-34.97707959999996,237.74733009000002,38143.0,0.3795885354695915,0.4264513176263312,False
allenhark-quic-ams,blockrazor,40,310,60.963183,166.167412,-48.38538550000001,-105.20422900000001,-114.57716040000003,-61.65851400000001,43.51261260000001,-52.040863517500064,222.447356,4596.0,0.0077554700057869495,0.010082111007523034,True
allenhark-quic-ams,bloxroute-fra,40,212,60.963183,113.66261549999999,-7.8494530000000005,-52.699432499999986,-100.9524340875,3.96183409999999,37.49402280000001,-57.89473559999999,217.03949,4003.0,0.5759405076559365,0.6314528457432557,False
allenhark-quic-ams,bloxroute-quic-fra,40,159,60.963183,165.528125,-26.222762499999988,-104.56494199999999,-117.588712,-17.26199617500013,37.8925783,-58.28723219999998,214.47106040000003,2672.0,0.1190499134282952,0.1425466068680903,False
allenhark-quic-ams,helius-dual,40,1845,60.963183,29.571341,31.23675,31.391842,22.059923,73.40461934999998,81.2002211,-14.836163920000052,258.18539039999996,56821.0,4.941284173132566e-09,8.175579268273883e-09,True
allenhark-quic-ams,helius-fra,40,294,60.963183,165.8274395,-42.688529,-104.8642565,-114.60191506250001,-61.647114887500045,31.877171900000064,-64.23926054249995,211.06312549249995,4632.0,0.0294631107580725,0.03723809831923052,True
allenhark-quic-ams,nextblock-quic-fra,40,898,60.963183,30.8829895,31.208631999999998,30.0801935,20.608931824999996,72.4283486375,90.06361120000003,-5.909022199999953,266.72122148,26995.0,7.092126544188961e-08,1.0938703652901617e-07,True
allenhark-quic-ams,nozomi-fra,40,1067,60.963183,73.383111,-1.1245225000000012,-12.419927999999999,-25.834789,32.234823762499936,25.69823470000003,-68.34518444749985,205.31067232750016,21046.0,0.8824624075936284,0.9125463533070475,False
allenhark-quic-ams,syncro-fra,40,272,60.963183,40.4776115,23.2765215,20.4855715,10.891731725,64.54916903749996,74.35270439999996,-21.003089787499896,278.96371969999996,7762.0,1.313438386772898e-05,1.897188780894186e-05,True
