sender_name,sv_country,landed,n_conditional,land_rate,wilson_lo,wilson_hi,gate
allenhark-quic-ny,Switzerland,0,108,0.0,0.0,0.034347359746557046,inferential
allenhark-quic-ny,Canada,0,896,0.0,4.336808689942018e-19,0.0042690395991852054,inferential
allenhark-quic-ny,Netherlands,0,4392,0.0,0.0,0.0008738847514588718,inferential
allenhark-quic-ny,United Kingdom,0,1802,0.0,0.0,0.0021272403520975723,inferential
allenhark-quic-ny,France,0,231,0.0,0.0,0.016357668871522183,inferential
allenhark-quic-ny,Japan,0,1393,0.0,0.0,0.002750103668842519,inferential
allenhark-quic-ny,Hong Kong S.A.R.,0,187,0.0,1.734723475976807e-18,0.02012905814298656,inferential
allenhark-quic-ny,Bulgaria,0,16,0.0,0.0,0.19360768053443655,indicative
allenhark-quic-ny,Brazil,0,196,0.0,0.0,0.019222531917868154,inferential
allenhark-quic-ny,Ireland,0,385,0.0,0.0,0.009879241869796433,inferential
allenhark-quic-ny,Sweden,0,304,0.0,8.673617379884035e-19,0.012478692231417829,inferential
allenhark-quic-ny,Russia,0,16,0.0,0.0,0.19360768053443655,indicative
allenhark-quic-ny,Czechia,0,56,0.0,6.938893903907228e-18,0.06419393671876344,inferential
allenhark-quic-ny,Slovakia,0,36,0.0,6.938893903907228e-18,0.0964186285944637,inferential
allenhark-quic-ny,United Arab Emirates,0,42,0.0,0.0,0.08379879086570395,inferential
allenhark-quic-ny,Albania,0,16,0.0,0.0,0.19360768053443655,indicative
allenhark-quic-ny,Mexico,0,28,0.0,1.3877787807814457e-17,0.12064330476584569,inferential
allenhark-quic-ny,Norway,0,8,0.0,0.0,0.32440756488388034,indicative
allenhark-quic-ny,Chile,0,12,0.0,0.0,0.24249400665524096,indicative
allenhark-quic-ny,Poland,0,40,0.0,0.0,0.08762160119728668,inferential
allenhark-quic-ny,Spain,0,8,0.0,0.0,0.32440756488388034,indicative
allenhark-quic-ny,Romania,0,16,0.0,0.0,0.19360768053443655,indicative
allenhark-quic-ny,South Africa,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-ny,Latvia,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-ny,Argentina,0,12,0.0,0.0,0.24249400665524096,indicative
allenhark-quic-ny,Australia,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-ny,South Korea,0,8,0.0,0.0,0.32440756488388034,indicative
allenhark-quic-ny,Finland,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-tk,Singapore,0,1078,0.0,0.0,0.0035508519195425066,inferential
allenhark-quic-tk,United States,0,4420,0.0,5.421010862427522e-20,0.0008683536370939888,inferential
allenhark-quic-tk,Lithuania,0,1056,0.0,0.0,0.0036245598704626935,inferential
allenhark-quic-tk,Germany,0,5455,0.0,0.0,0.0007037132053884599,inferential
allenhark-quic-tk,Switzerland,0,108,0.0,0.0,0.034347359746557046,inferential
allenhark-quic-tk,Canada,0,896,0.0,4.336808689942018e-19,0.0042690395991852054,inferential
allenhark-quic-tk,Netherlands,0,4392,0.0,0.0,0.0008738847514588718,inferential
allenhark-quic-tk,United Kingdom,0,1802,0.0,0.0,0.0021272403520975723,inferential
