leader_identity,leader_name,sender_name,land_count,n_triggers,land_rate
HH5dA42XF1HxNk1TRpG6LuKfLViMYNdAz5iWrFM4hWFi,Trust Nodes,nozomi-fra,3,48,0.0625
HH5dA42XF1HxNk1TRpG6LuKfLViMYNdAz5iWrFM4hWFi,Trust Nodes,0slot-de1,2,48,0.0417
HH5dA42XF1HxNk1TRpG6LuKfLViMYNdAz5iWrFM4hWFi,Trust Nodes,allenhark-quic-fra,1,48,0.0208
HH5dA42XF1HxNk1TRpG6LuKfLViMYNdAz5iWrFM4hWFi,Trust Nodes,astralane-quic-fra,1,48,0.0208
HH5dA42XF1HxNk1TRpG6LuKfLViMYNdAz5iWrFM4hWFi,Trust Nodes,nextblock-quic-fra,1,48,0.0208
vu1sGn2f1Xim6voHNLt4nLn38zNkYdLasU7hEr1TC2D,Allnodes ⚡️ 0% fee,0slot-de1,25,48,0.5208
vu1sGn2f1Xim6voHNLt4nLn38zNkYdLasU7hEr1TC2D,Allnodes ⚡️ 0% fee,astralane-fra,5,48,0.1042
vu1sGn2f1Xim6voHNLt4nLn38zNkYdLasU7hEr1TC2D,Allnodes ⚡️ 0% fee,nextblock-quic-fra,3,48,0.0625
vu1sGn2f1Xim6voHNLt4nLn38zNkYdLasU7hEr1TC2D,Allnodes ⚡️ 0% fee,astralane-quic-fra,2,48,0.0417
vu1sGn2f1Xim6voHNLt4nLn38zNkYdLasU7hEr1TC2D,Allnodes ⚡️ 0% fee,bloxroute-fra,2,48,0.0417
vu1sGn2f1Xim6voHNLt4nLn38zNkYdLasU7hEr1TC2D,Allnodes ⚡️ 0% fee,helius-dual,2,48,0.0417
vu1sGn2f1Xim6voHNLt4nLn38zNkYdLasU7hEr1TC2D,Allnodes ⚡️ 0% fee,allenhark-quic-fra,1,48,0.0208
vu1sGn2f1Xim6voHNLt4nLn38zNkYdLasU7hEr1TC2D,Allnodes ⚡️ 0% fee,bloxroute-quic-fra,1,48,0.0208
2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc,Blueprint,0slot-de1,21,44,0.4773
2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc,Blueprint,astralane-fra,6,44,0.1364
2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc,Blueprint,astralane-quic-fra,5,44,0.1136
2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc,Blueprint,nextblock-quic-fra,4,44,0.0909
2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc,Blueprint,triton-fra,3,44,0.0682
2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc,Blueprint,helius-dual,2,44,0.0455
2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc,Blueprint,allenhark-quic-fra,1,44,0.0227
2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc,Blueprint,blockrazor,1,44,0.0227
2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc,Blueprint,helius-fra,1,44,0.0227
32ke3uf1qL3xLqbwzU76T2sbG2XaJrGuSCNdUnien3zm,FalconX,astralane-fra,19,44,0.4318
32ke3uf1qL3xLqbwzU76T2sbG2XaJrGuSCNdUnien3zm,FalconX,astralane-quic-fra,13,44,0.2955
32ke3uf1qL3xLqbwzU76T2sbG2XaJrGuSCNdUnien3zm,FalconX,triton-fra,5,44,0.1136
32ke3uf1qL3xLqbwzU76T2sbG2XaJrGuSCNdUnien3zm,FalconX,0slot-de1,2,44,0.0455
32ke3uf1qL3xLqbwzU76T2sbG2XaJrGuSCNdUnien3zm,FalconX,bloxroute-fra,1,44,0.0227
32ke3uf1qL3xLqbwzU76T2sbG2XaJrGuSCNdUnien3zm,FalconX,nextblock-quic-fra,1,44,0.0227
5RvfTSowms7BTYaBj8SxVjj7ELAAKdQadKsuNpmBAwCs,,astralane-quic-fra,21,44,0.4773
5RvfTSowms7BTYaBj8SxVjj7ELAAKdQadKsuNpmBAwCs,,astralane-fra,10,44,0.2273
5RvfTSowms7BTYaBj8SxVjj7ELAAKdQadKsuNpmBAwCs,,nozomi-fra,4,44,0.0909
5RvfTSowms7BTYaBj8SxVjj7ELAAKdQadKsuNpmBAwCs,,0slot-de1,1,44,0.0227
5RvfTSowms7BTYaBj8SxVjj7ELAAKdQadKsuNpmBAwCs,,triton-fra,1,44,0.0227
6XKqyUVUcpe3CNucjF6gk5zonJDqNGvob6kaTy4Ps1U,Solana Mobile Validator,0slot-de1,22,44,0.5
6XKqyUVUcpe3CNucjF6gk5zonJDqNGvob6kaTy4Ps1U,Solana Mobile Validator,triton-fra,12,44,0.2727
6XKqyUVUcpe3CNucjF6gk5zonJDqNGvob6kaTy4Ps1U,Solana Mobile Validator,astralane-fra,1,44,0.0227
6XKqyUVUcpe3CNucjF6gk5zonJDqNGvob6kaTy4Ps1U,Solana Mobile Validator,astralane-quic-fra,1,44,0.0227
6XKqyUVUcpe3CNucjF6gk5zonJDqNGvob6kaTy4Ps1U,Solana Mobile Validator,nextblock-quic-fra,1,44,0.0227
7EzbSahSfSjeRexHcNDLDpzHBAGBLjLKtjbmuoQnEtjE,Gate Earn,0slot-de1,23,44,0.5227
7EzbSahSfSjeRexHcNDLDpzHBAGBLjLKtjbmuoQnEtjE,Gate Earn,triton-fra,14,44,0.3182
7EzbSahSfSjeRexHcNDLDpzHBAGBLjLKtjbmuoQnEtjE,Gate Earn,astralane-quic-fra,1,44,0.0227
7EzbSahSfSjeRexHcNDLDpzHBAGBLjLKtjbmuoQnEtjE,Gate Earn,bloxroute-quic-fra,1,44,0.0227
7EzbSahSfSjeRexHcNDLDpzHBAGBLjLKtjbmuoQnEtjE,Gate Earn,helius-dual,1,44,0.0227
ACvL73V4GNnxPVfZ7K89jCrYurLyzpEuE9qirjvh2Xmi,Kiln2,helius-dual,36,44,0.8182
ACvL73V4GNnxPVfZ7K89jCrYurLyzpEuE9qirjvh2Xmi,Kiln2,0slot-de1,5,44,0.1136
Ex1AxFCipXGfSxgvXPPT3nPQUARddCduHwKR6jHiXAaT,,astralane-quic-fra,16,44,0.3636
Ex1AxFCipXGfSxgvXPPT3nPQUARddCduHwKR6jHiXAaT,,astralane-fra,11,44,0.25
Ex1AxFCipXGfSxgvXPPT3nPQUARddCduHwKR6jHiXAaT,,nozomi-fra,7,44,0.1591
Ex1AxFCipXGfSxgvXPPT3nPQUARddCduHwKR6jHiXAaT,,nextblock-quic-fra,2,44,0.0455
Ex1AxFCipXGfSxgvXPPT3nPQUARddCduHwKR6jHiXAaT,,0slot-de1,1,44,0.0227
Ex1AxFCipXGfSxgvXPPT3nPQUARddCduHwKR6jHiXAaT,,triton-fra,1,44,0.0227
PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb,Pumpkin's Pool ❤️,0slot-de1,23,44,0.5227
