trigger_id,slot,tick,leader_identity,leader_name,sv_continent,sv_country,n_senderror,n_unknownpending
20260610-164405#108951736631,425592721,55,FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,Coinbase 04,Europe,Netherlands,3,14
20260610-164405#108951737124,425592723,36,FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,Coinbase 04,Europe,Netherlands,3,14
20260610-164405#108951738432,425592728,64,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Figment,North America,Canada,2,15
20260610-164405#108951750952,425592777,40,krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,Kraken,North America,United States,1,16
20260610-164405#108951773720,425592866,24,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,Europe,Germany,2,15
20260610-164405#108951777317,425592880,37,JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,Forward Industries,North America,United States,2,15
20260610-164405#108951807529,425592998,41,G1bLKfyNm7zsmmYEL9dyxBvMtxpFcwy2s84bHDj2ZFUY,P2P.org Turbo,South America,Brazil,2,15
20260610-164405#108951808811,425593003,43,bay3wXfJsu9ds1zQBoQQ4DUwFGs3NP6q4gca9WM5G1z,Bay3,Europe,Germany,1,16
20260610-164405#108951809821,425593007,29,FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,,Europe,Ireland,1,16
20260610-164405#108951810111,425593008,63,AWcCdYG7Dy6GX45c6QMPbgGwgRZPKcBDT4bXGb3QrVRV,,Europe,Switzerland,2,15
20260610-164405#108951810309,425593009,5,AWcCdYG7Dy6GX45c6QMPbgGwgRZPKcBDT4bXGb3QrVRV,,Europe,Switzerland,3,14
20260610-164405#108951813407,425593021,31,7tqeaFKsg2K9xKnQWe61w71AtCZVMQvG4hbFAiFAngYw,,Europe,Lithuania,3,14
20260610-164405#108951822348,425593056,12,ETcW7iuVraMKLMJayNCCsr9bLvKrJPDczy1CMVMPmXTc,stakeware.xyz | ferric,Europe,Netherlands,0,17
20260610-164405#108951822644,425593057,52,ETcW7iuVraMKLMJayNCCsr9bLvKrJPDczy1CMVMPmXTc,stakeware.xyz | ferric,Europe,Netherlands,2,15
20260610-164405#108951838266,425593118,58,AoUwfPuiEek2thVRDhMP7HbQb9rguyab4rDiz2NAfwwA,,North America,Canada,3,14
20260610-164405#108951839038,425593121,62,3SkE34PVeGck2ArEffFKjihrQgURsvnoTAhitsNXNzXd,,Europe,Sweden,2,15
20260610-164405#108951840802,425593128,34,BXAxLMMMUNYfC1z166VjWHR3WjTmqzLxB837o5ghmRtH,,Europe,Ireland,2,15
20260610-164405#108951843082,425593137,10,GBQ2GvTzmjXMu97dr7WUnLKYTNim1aoZsYS53KYXAAAA,Bitwise Onchain Solutions | Jito BAM,Europe,Netherlands,2,15
20260610-164405#108951851583,425593170,63,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Europe,United Kingdom,2,15
20260610-164405#108951851791,425593171,15,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Europe,United Kingdom,3,14
20260610-164405#108951852062,425593172,30,FBbqKvwLfKGZrKrfSbPJz4ymQ7zMarhRyZtu1RBkSe89,,North America,United States,1,16
20260610-164405#108951852323,425593173,35,FBbqKvwLfKGZrKrfSbPJz4ymQ7zMarhRyZtu1RBkSe89,,North America,United States,3,14
20260610-164405#108951853316,425593177,4,G9vCpJUUSpEm4zPwzSNpDmZ8MGwLEbiSLV59EBzCGvzM,AP Node,Asia,Japan,0,17
20260610-164405#108951853571,425593178,3,G9vCpJUUSpEm4zPwzSNpDmZ8MGwLEbiSLV59EBzCGvzM,AP Node,Asia,Japan,2,15
20260610-164405#108951866933,425593230,53,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,,Europe,Netherlands,2,15
20260610-164405#108951867407,425593232,15,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,Kraken 2,North America,United States,2,15
20260610-164405#108951870263,425593243,55,A1vqhA2fS6K7CvHsJKX1ACcHJFEmyRg4KuR5pctHANy4,,Europe,Netherlands,3,14
20260610-164405#108951876411,425593267,59,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,binance staking,North America,United States,2,15
20260610-164405#108951884324,425593298,36,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,,Europe,Netherlands,3,14
20260610-164405#108951885073,425593301,17,FbYX2uN573G5WsgiPdHU6fS5PNUyjdXfGfpZNkYUuT4k,,Europe,Sweden,2,15
20260610-164405#108951885368,425593302,56,FbYX2uN573G5WsgiPdHU6fS5PNUyjdXfGfpZNkYUuT4k,,Europe,Sweden,2,15
20260610-164405#108951893012,425593332,20,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,,Europe,Germany,2,15
20260610-164405#108951900444,425593361,28,9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,,Europe,United Kingdom,3,14
20260610-164405#108951903262,425593372,30,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Everstake,Europe,Germany,3,14
20260610-164405#108951903533,425593373,45,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Everstake,Europe,Germany,2,15
20260610-164405#108951918649,425593432,57,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Europe,United Kingdom,2,15
20260610-164405#108951927825,425593468,17,J6etcxDdYjPHrtyvDXrbCkx3q9W1UjMj1vy1jBFPJEbK,,North America,United States,0,17
20260610-164405#108951963191,425593606,55,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,binance staking,North America,United States,1,16
20260610-164405#108951963454,425593607,62,DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,binance staking,North America,United States,3,14
20260610-164405#108951973146,425593645,26,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,Kraken 2,North America,United States,3,14
20260610-164405#108951974689,425593651,33,mXv18ov8qCiQGs3ieoen981LdgZzYJjJak6reK6fpNC,MX Validator,North America,United States,3,14
20260610-164405#108951975214,425593653,46,9eGrDohdNTAo61DRHyfMuqKWXqYnA3i254Wiszxe8FoY,Galaxy,North America,United States,0,17
20260610-164405#108951980081,425593672,49,GBQ2GvTzmjXMu97dr7WUnLKYTNim1aoZsYS53KYXAAAA,Bitwise Onchain Solutions | Jito BAM,Europe,Netherlands,1,16
20260610-164405#108951980337,425593673,49,GBQ2GvTzmjXMu97dr7WUnLKYTNim1aoZsYS53KYXAAAA,Bitwise Onchain Solutions | Jito BAM,Europe,Netherlands,3,14
20260610-164405#108951984432,425593689,48,CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,Kraken 2,North America,United States,2,15
20260610-164405#108951985966,425593695,46,Ninja1spj6n9t5hVYgF3PdnYz2PLnkt7rvaw3firmjs,Shinobi Systems 🚀 stakeview.app,North America,United States,0,17
20260610-164405#108952000525,425593752,13,6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,melea 🚀 SOL 🤑2K,Europe,Netherlands,3,14
20260610-164405#108952000818,425593753,50,6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea,melea 🚀 SOL 🤑2K,Europe,Netherlands,2,15
20260610-164405#108952007179,425593778,11,KTMkUG8WCw9FdH44jLMBpc1teGafnYL6SgP4fHHbsNM,⚔️ Epics DAO ⚔️  - ALL 0% Fees ⭐️,Europe,Netherlands,3,14
20260610-164405#108952007987,425593781,51,7HMHSdQkjDwz9Q5zAhEy83uzW3XHJchjdpMYapKXcKt5,GERSIA,North America,United States,2,15
20260610-164405#108952014885,425593808,37,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,Europe,Germany,1,16
20260610-164405#108952015150,425593809,46,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,Jupiter,Europe,Germany,1,16
20260610-164405#108952032525,425593877,13,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Helius,Europe,United Kingdom,3,14
20260610-164405#108952036609,425593893,1,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,,Europe,Netherlands,1,16
20260610-164405#108952048657,425593940,17,DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,P2P.org,Europe,Netherlands,2,15
20260610-164405#108952048917,425593941,21,DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,P2P.org,Europe,Netherlands,2,15
20260610-164405#108952049195,425593942,43,DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,P2P.org,Europe,Netherlands,1,16
20260610-164405#108952059162,425593981,26,HpcB5Qg8Y9E73dUkot5e8HkgAJbExsYeUzniY4bCuKac,,Europe,Lithuania,1,16
20260610-164405#108952060188,425593985,28,dxa6QFqLcByyHykLCAW5tv1VYNVQFV3v6oovM2h8inH,Fidelity Center for Applied Technology (FCAT®),North America,United States,2,15
20260610-164405#108952060420,425593986,4,dxa6QFqLcByyHykLCAW5tv1VYNVQFV3v6oovM2h8inH,Fidelity Center for Applied Technology (FCAT®),North America,United States,3,14
20260610-164405#108952062739,425593995,19,J6etcxDdYjPHrtyvDXrbCkx3q9W1UjMj1vy1jBFPJEbK,,North America,United States,3,14
20260610-164405#108952066312,425594009,8,7EzbSahSfSjeRexHcNDLDpzHBAGBLjLKtjbmuoQnEtjE,Gate Earn,North America,United States,1,16
20260610-164405#108952073490,425594037,18,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Figment,North America,Canada,3,14
20260610-164405#108952074025,425594039,41,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Figment,North America,Canada,2,15
20260610-164405#108952078888,425594058,40,Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,,Europe,United Kingdom,1,16
20260610-164405#108952092699,425594112,27,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,Kiln1,Europe,Netherlands,2,15
20260610-164405#108952093498,425594115,58,5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,Kiln1,Europe,Netherlands,2,15
20260610-164405#108952098867,425594136,51,Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,,Europe,United Kingdom,0,17
20260610-164405#108952099640,425594139,56,Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,,Europe,United Kingdom,3,14
20260610-164405#108952100361,425594142,9,nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY,Hypo Nyms,Europe,Germany,1,16
